127.0.0.1 - - [04/Aug/2022:15:15:36 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:15:39 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:15:39 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:52 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:17:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:18:00 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:18:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:57:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:57:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:58:17 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [04/Aug/2022:15:58:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:15:35 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:15:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:04 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5884
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:19 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5884
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:38 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:38 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:16:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:20:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:16 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:31 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:21:44 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:22:40 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:22:55 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:22:59 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [04/Aug/2022:16:23:05 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:10:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:11:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:11:18 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:11:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:16 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:31 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/package-summary.html HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:31 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:35 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Bean/BaseBean.html HTTP/1.1" 200 22280
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:35 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:42 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/BaseCtl.html HTTP/1.1" 200 32011
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:42 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:12:55 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:48:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [04/Aug/2022:17:48:36 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2572
